Compound,Apple,Avocado,Carrot,Onion,Orange,Spinach,Strawberries
"p,p'-DDE",96.9,97.6,100.3,100.8,101.6,NaN,103
"p,p'-DDT",90.3,84.6,100.1,94.1,94.7,NaN,89.9
Paclobutrazol,98.2,100.2,100.6,99.5,102,NaN,102.1
Parathion (ethyl),99.3,97.4,94.8,101,94.9,NaN,94.3
Parathion-methyl,101.2,101.4,99.7,100.9,97.3,NaN,98.9
Pendimethalin,96.7,108.4,98.5,98.5,97.1,NaN,98.5
Permethrin,98.4,99.2,100.2,100.8,99.6,NaN,100.1
Phenothrin,97.4,96.8,100.7,101.5,95.8,NaN,103
Phorate (raw),99.3,100.2,97.9,99.5,98.4,NaN,99.8
Phorate-Oxon,98.2,86.6,97.2,99.6,99.6,NaN,97
Phorate-sulfone,101.8,97.1,103,100.8,99.5,NaN,97.6
Phorate-sulfoxide,99.7,98.2,99.5,99.6,96.8,NaN,96.6
Phosmet,104.4,83.3,105.2,88.4,94.6,NaN,91.9
Piperonyl butoxide,99.9,107,102.4,101.2,106,NaN,101.8
Pirimicarb (raw),98.2,96.7,101.8,99.6,100.7,NaN,99.2
Pirimiphos-methyl,107.2,106.8,99.3,95.6,96,NaN,105
Procymidone,97,96.9,99.4,98.2,101.6,NaN,101.6
Propiconazole,99.9,109,101,101.1,102.5,NaN,103.7
Prothiofos,98.1,104.4,100.2,99.7,100.6,NaN,98.4
Pyraclostrobin,100.8,93.6,98.2,98.2,96,NaN,94.6
Pyrimethanil,96.7,99,98.7,99.9,101.8,NaN,100.1
Pyriproxyfen,97.5,163,100.1,98.5,101.5,NaN,100.8
Quintozene,101.1,101.6,99.7,100.6,100.9,NaN,99.9
Simazine,101.1,98.9,98.4,102,105.5,NaN,100
tau-Fluvalinate,102.3,97.3,102.2,98.7,99.7,NaN,98.7
Tebuconazole,98.4,102.2,99.5,98.1,99.9,NaN,101.3
Tebufenpyrad,100.5,96.8,101.6,101.4,101,NaN,103.7
Terbufos (raw),98.1,99.1,98.6,98.6,99.1,NaN,98.4
Tetradifon,101,95.3,97.1,103.7,98.3,NaN,97.2
THP,101.3,123,102.1,73.6,113,NaN,107.2
Tolclofos-methyl,99.7,100,99.7,102.2,98.5,NaN,98.2
Triadimefon,98.1,103.8,97,102.8,99,NaN,100.7
Trifloxystrobin (raw),100,95.7,104.7,101.3,104.1,NaN,102.8
Trifloxystrobin Metabolite,100.1,101.6,112.1,112,120.4,NaN,99.4
Vinclozolin,102.2,96,100.2,101.9,98.9,NaN,102.8
